categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - black,"71,91","79,90",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-black-un244a02y-q13.html,LOCKDOWN 7,Scarpe da basket,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,COURT 96 - Scarpe da allenamento - white,"69,99","99,99",https://www.zalando.it/under-armour-sport-court-96-scarpe-da-allenamento-white-un242a0mk-a11.html,COURT 96,Scarpe da allenamento,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,SPEEDFORM GEMINI - Scarpe da corsa su strada - white,"130,00","130,00",https://www.zalando.it/under-armour-scarpe-da-allenamento-white-un244a03b-a11.html,SPEEDFORM GEMINI,Scarpe da corsa su strada,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - black,"90,90","90,90",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-black-un244a02y-q14.html,LOCKDOWN 7,Scarpe da basket,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,695 - Scarponi da montagna - black,"130,00","130,00",https://www.zalando.it/under-armour-scarponi-da-montagna-black-un244a031-q11.html,695,Scarponi da montagna,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO ELITE 3 FG - Scarpe da calcio con tacchetti - purple,"209,97","249,95",https://www.zalando.it/under-armour-magnetico-elite-3-fg-scarpe-da-calcio-con-tacchetti-purple-un244a02u-i11.html,MAGNETICO ELITE 3 FG,Scarpe da calcio con tacchetti,purple
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE - Scarpe da corsa su strada - white/midnight navy,"79,97","100,00",https://www.zalando.it/under-armour-infinite-scarpe-running-neutre-whitemidnight-navy-un242a0mg-a11.html,INFINITE,Scarpe da corsa su strada,white/midnight navy
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - castlerock/anthracite/horizon blue,"79,97","100,00",https://www.zalando.it/under-armour-charged-bandit-tr-3-scarpe-da-trail-running-castlerockanthracitehorizon-blue-un242a0mi-c11.html,CHARGED BANDIT TR 3,Scarpe da trail running,castlerock/anthracite/horizon blue
Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED BANDIT TR 3 - Scarpe da trail running - black/anthracite/morph green,"59,99","99,99",https://www.zalando.it/under-armour-scarpe-da-trail-running-blackanthracitemorph-green-un242a0mi-q13.html,CHARGED BANDIT TR 3,Scarpe da trail running,black/anthracite/morph green
Scarpini Sportivi Under Armour,UNDER ARMOUR,FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - black/white,"69,99","139,99",https://www.zalando.it/under-armour-fat-tire-venture-pro-scarpe-da-allenamento-blackwhite-un242a0m7-q11.html,FAT TIRE VENTURE PRO UNISEX,Scarpe da allenamento,black/white
Scarpini Sportivi Under Armour,UNDER ARMOUR,VELOCITI 4 - Scarpe da corsa su strada - halo gray,"77,97","130,00",https://www.zalando.it/under-armour-scarpe-running-neutre-halo-gray-un242a0o5-c11.html,VELOCITI 4,Scarpe da corsa su strada,halo gray
Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 - Scarpe da basket - white,"75,00","75,00",https://www.zalando.it/under-armour-performance-lockdown-scarpe-da-basket-white-un244a02y-a11.html,LOCKDOWN 7,Scarpe da basket,white
Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO - Scarpe da corsa su strada - cardinal,"77,97","130,00",https://www.zalando.it/under-armour-infinite-pro-scarpe-running-neutre-cardinal-un242a0ld-g11.html,INFINITE PRO,Scarpe da corsa su strada,cardinal
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - morph green,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-morph-green-un242a0n1-m11.html,Scarpe da corsa su strada,morph green,
Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X 4 - Scarpe da basket - black/white,"101,99","119,99",https://www.zalando.it/under-armour-scarpe-da-basket-blackwhite-un242a0mp-q11.html,FLOW FUTR X 4,Scarpe da basket,black/white
Scarpini Sportivi Under Armour,UNDER ARMOUR,CURRY 11 MOUTHGUARD - Scarpe da basket - sky blue,"170,00","170,00",https://www.zalando.it/under-armour-scarpe-da-basket-sky-blue-un244a02w-k11.html,CURRY 11 MOUTHGUARD,Scarpe da basket,sky blue
Scarpini Sportivi Under Armour,UNDER ARMOUR,JET '23 - Scarpe da basket - black,"52,00","65,00",https://www.zalando.it/under-armour-performance-gs-jet-23-scarpe-da-basket-black-un243a04a-q13.html,JET '23,Scarpe da basket,black
Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - white distant gray halo gray,"95,97","160,00",https://www.zalando.it/under-armour-scarpe-running-neutre-white-distant-gray-halo-gray-un242a0n1-a11.html,Scarpe da corsa su strada,white distant gray halo gray,
