,categoria,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
100,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da camminata - silica green,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-camminata-silica-green-un242a0ou-m11.html,INFINITE PRO 2,Scarpe da camminata,silica green
101,Scarpini Sportivi Under Armour,UNDER ARMOUR,MAGNETICO SELECT 4 FG - Scarpe da calcetto con tacchetti - ares red/ares red/stream,51.99,79.99,https://www.zalando.it/under-armour-magnetico-select-4-fg-scarpe-da-calcetto-con-tacchetti-ares-redares-redstream-un242a0mr-g11.html,MAGNETICO SELECT 4 FG,Scarpe da calcetto con tacchetti,ares red/ares red/stream
102,Scarpini Sportivi Under Armour,UNDER ARMOUR,VALSETZ MID - Stivali da neve  - black,140.0,140.0,https://www.zalando.it/under-armour-protection-charged-valsetz-mid-stivali-da-neve-black-un242c00f-q11.html,VALSETZ MID,Stivali da neve,black
103,Scarpini Sportivi Under Armour,UNDER ARMOUR,UA SPAWN - Scarpe da basket - wht/black/mgo,85.0,110.0,https://www.zalando.it/under-armour-unisex-scarpe-da-basket-weiss-grau-un244a01w-a12.html,UA SPAWN,Scarpe da basket,wht/black/mgo
104,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO 2 - Scarpe da camminata - black,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-camminata-black-un242a0ou-q11.html,INFINITE PRO 2,Scarpe da camminata,black
105,Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKDOWN 7 LOW - Scarpe da basket - red,75.0,75.0,https://www.zalando.it/under-armour-scarpe-da-basket-red-600-un244a034-g11.html,LOCKDOWN 7 LOW,Scarpe da basket,red
106,Scarpini Sportivi Under Armour,UNDER ARMOUR,TECHNICAL PERFORMA HOVR SONIC - Scarpe da corsa su strada - black,146.0,146.0,https://www.zalando.it/under-armour-technical-performa-hovr-sonic-scarpe-da-corsa-stabili-black-un242a0ko-q14.html,TECHNICAL PERFORMA HOVR SONIC,Scarpe da corsa su strada,black
107,Scarpini Sportivi Under Armour,UNDER ARMOUR,LOCKER V - Ciabatte da mare - gray dawn,29.0,29.0,https://www.zalando.it/under-armour-locker-ciabatte-da-mare-gray-dawn-un212g004-c12.html,LOCKER V,Ciabatte da mare,gray dawn
108,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - red,70.0,70.0,https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-red-un242a0os-g11.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,red
109,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED ROGUE 5 - Scarpe da corsa su strada - black,85.0,85.0,https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-black-un242a0ov-q12.html,CHARGED ROGUE 5,Scarpe da corsa su strada,black
110,Scarpini Sportivi Under Armour,UNDER ARMOUR,INFINITE PRO RUN ANYWHERE - Scarpe da corsa su strada - black,90.97,130.0,https://www.zalando.it/under-armour-scarpe-running-neutre-black-un242a0nf-q11.html,INFINITE PRO RUN ANYWHERE,Scarpe da corsa su strada,black
111,Scarpini Sportivi Under Armour,UNDER ARMOUR,CLONE MAGNETICO PRO3.0 FG - Scarpe da calcetto con tacchetti - white,109.17,129.95,https://www.zalando.it/under-armour-clone-magnetico-pro30-fg-scarpe-da-calcetto-con-tacchetti-white-un242a0ls-a11.html,CLONE MAGNETICO PRO3.0 FG,Scarpe da calcetto con tacchetti,white
112,Scarpini Sportivi Under Armour,UNDER ARMOUR,VELOCITI 4 SE - Scarpe da corsa su strada - white/hyper green,129.99,129.99,https://www.zalando.it/under-armour-velociti-4-se-scarpe-da-corsa-su-strada-whitehyper-green-un242a0mh-a12.html,VELOCITI 4 SE,Scarpe da corsa su strada,white/hyper green
113,Scarpini Sportivi Under Armour,UNDER ARMOUR,Scarpe da corsa su strada - phoenix fire-high-vis yellow-black,160.0,160.0,https://www.zalando.it/under-armour-scarpe-running-neutre-phoenix-fire-high-vis-yellow-black-un242a0kf-h11.html,Scarpe da corsa su strada,phoenix fire,high-vis yellow-black
114,Scarpini Sportivi Under Armour,UNDER ARMOUR,SLIPSPEED MEGA FADE - Scarpe da corsa su strada - black,150.0,150.0,https://www.zalando.it/under-armour-technical-performa-slipspeed-mega-fade-scarpe-da-allenamento-black-un215p004-q11.html,SLIPSPEED MEGA FADE,Scarpe da corsa su strada,black
115,Scarpini Sportivi Under Armour,UNDER ARMOUR,REIGN LIFTER UNISEX - Scarpe da allenamento - black/white,199.99,199.99,https://www.zalando.it/under-armour-reign-lifter-unisex-scarpe-da-allenamento-blackwhite-un244a02f-q11.html,REIGN LIFTER UNISEX,Scarpe da allenamento,black/white
116,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED PURSUIT 4 - Scarpe da corsa su strada - castlerock/anthracite/blaze orange,69.99,69.99,https://www.zalando.it/under-armour-ua-charged-pursuit-4-scarpe-da-corsa-su-strada-castlerockanthraciteblaze-orange-un242a0nb-c11.html,CHARGED PURSUIT 4,Scarpe da corsa su strada,castlerock/anthracite/blaze orange
117,Scarpini Sportivi Under Armour,UNDER ARMOUR,PHANTOM FORE - Scarpe da golf - mod gray,140.0,140.0,https://www.zalando.it/under-armour-scarponi-da-trekking-mod-gray-un212p002-c11.html,PHANTOM FORE,Scarpe da golf,mod gray
118,Scarpini Sportivi Under Armour,UNDER ARMOUR,FLOW FUTR X ELITE UAA - Scarpe da basket - black,150.0,150.0,https://www.zalando.it/under-armour-sneakers-basse-black-un244a03k-q11.html,FLOW FUTR X ELITE UAA,Scarpe da basket,black
119,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED SPEED SWIFT - Scarpe da allenamento - blk noir,98.0,98.0,https://www.zalando.it/under-armour-sneakers-basse-blk-noir-un244a03e-q11.html,CHARGED SPEED SWIFT,Scarpe da allenamento,blk noir
120,Scarpini Sportivi Under Armour,UNDER ARMOUR,PHANTOM FORE - Scarpe da golf - white/halo gray,139.99,139.99,https://www.zalando.it/under-armour-phantom-fore-scarpe-da-golf-whitehalo-gray-un242a0nn-a11.html,PHANTOM FORE,Scarpe da golf,white/halo gray
121,Scarpini Sportivi Under Armour,UNDER ARMOUR,CHARGED ROGUE - Scarpe da camminata - bianco,85.0,85.0,https://www.zalando.it/under-armour-sneakers-basse-bianco-un242a0pb-a11.html,CHARGED ROGUE,Scarpe da camminata,bianco
122,Scarpini Sportivi Under Armour,UNDER ARMOUR,SONIC 7 - Scarpe da camminata - black,120.0,120.0,https://www.zalando.it/under-armour-scarpe-da-camminata-black-un242a0oq-q11.html,SONIC 7,Scarpe da camminata,black
