,categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
535,Scarpe Sportive,47.0,Uomo,MIZUNO,MIZUNO Α II PRO - Scarpe da calcetto con tacchetti - white/silver iridiscent/black,155.0,155.0,https://www.zalando.it/mizuno-mizuno-ii-pro-unisex-scarpe-da-calcetto-con-tacchetti-whitesilver-iridiscentblack-m2742a0jw-a11.html?size=47,MIZUNO Α II PRO,scarpe da calcetto con tacchetti,white/silver iridiscent/black
536,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,CHARGED COMMIT TR 4 - Scarpe da allenamento - black,67.99,79.99,https://www.zalando.it/under-armour-charged-commit-tr-4-unisex-scarpe-da-allenamento-black-un242a0l9-q12.html?size=47,CHARGED COMMIT TR 4,scarpe da allenamento,black
537,Scarpe Sportive,47.0,Uomo,ASICS,COURT SLIDE 4 - Scarpe da tennis per tutte le superfici - indigo fog/white,64.99,64.99,https://www.zalando.it/asics-court-slide-4-scarpe-da-tennis-per-tutte-le-superfici-indigo-fogwhite-as142a17f-k11.html?size=47,COURT SLIDE 4,scarpe da tennis per tutte le superfici,indigo fog/white
538,Scarpe Sportive,47.0,Uomo,PUMA,DAGGER UNISEX - Scarpe da basket - black-team violet,59.95,85.0,https://www.zalando.it/puma-dagger-scarpe-da-basket-blackpurple-pu142a1xk-i11.html?size=47,DAGGER UNISEX,scarpe da basket,black-team violet
539,Scarpe Sportive,47.0,Uomo,PUMA,FUTURE 8 MATCH MG - Scarpe da calcetto con tacchetti - black/white/glowing red,50.99,84.99,https://www.zalando.it/puma-future-8-match-mg-scarpe-da-calcetto-con-tacchetti-blackwhiteglowing-red-pu142a1x3-q11.html?size=47,FUTURE 8 MATCH MG,scarpe da calcetto con tacchetti,black/white/glowing red
540,Scarpe Sportive,47.0,Uomo,PUMA,RETALIATE 3 - Scarpe da corsa su strada - olive- black,55.95,70.0,https://www.zalando.it/puma-retaliate-scarpe-da-corsa-su-strada-olive-black-pu115o0wk-m11.html?size=47,RETALIATE 3,scarpe da corsa su strada,olive- black
541,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,CHARGED ROGUE 5 - Scarpe da corsa su strada - black,85.0,85.0,https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-black-un242a0ov-q12.html?size=47,CHARGED ROGUE 5,scarpe da corsa su strada,black
542,Scarpe Sportive,47.0,Uomo,ASICS,GEL-DEDICATE 8 - Scarpe da padel - white,66.99,74.99,https://www.zalando.it/asics-gel-dedicate-8-padel-scarpe-da-padel-white-as142a10t-a11.html?size=47,GEL dedicate 8,Scarpe da padel,white
543,Scarpe Sportive,47.0,Uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - navy,43.95,55.0,https://www.zalando.it/puma-anzarun-lite-scarpe-da-fitness-pu144a07j-k11.html?size=47,ANZARUN LITE,scarpe da corsa su strada,navy
544,Scarpe Sportive,47.0,Uomo,UNDER ARMOUR,VELOCITI 4 - Scarpe da corsa su strada - silica green,130.0,130.0,https://www.zalando.it/under-armour-scarpe-da-corsa-su-strada-silica-green-un242a0o5-m11.html?size=47,VELOCITI 4,scarpe da corsa su strada,silica green
545,Scarpe Sportive,47.0,Uomo,ASICS,GAME FF - Scarpe da tennis per tutte le superfici - indigo fog/nova orange,75.99,89.99,https://www.zalando.it/asics-game-ff-scarpe-da-tennis-per-tutte-le-superfici-indigo-fognova-orange-as142a17e-k11.html?size=47,GAME FF,scarpe da tennis per tutte le superfici,indigo fog/nova orange
